,Unnamed: 0,_id,NickName,Gender,Province,City,BriefIntroduction,Birthday,VIPlevel,Authentication,URL,Num_Tweets,Num_Follows,Num_Fans,SexOrientation,Sentiment
15,15,2383807032,胶片的味道,男,上海,徐汇区,分享简单的美好。,1985/8/14 0:00:00,7级,头条文章作者,http://weibo.com/letsfilm,52411.0,18.0,1721227.0,异性恋,单身
65,65,2671109275,新手指南,女,北京,海淀区,教授新手使用微博方法专业户，每天推荐方法介绍、微博热点...有问题请call我，@、私信都可以，欢迎骚扰~,0001-00-00,7级,新浪微博新手指南官方微博,http://weibo.com/u/2671109275,13147.0,2955.0,180001221.0,,
77,77,6466519532,留恋黑暗恐惧寒,女,吉林,,,1990/3/2 0:00:00,未开通,情感博主,http://weibo.com/u/6466519532,94.0,3865.0,446.0,,
123,123,1642909335,微博小秘书,女,北京,,对微博的任何问题请私信@微博客服，或访问客服中心→http://kefu.weibo.com,0001-00-00,6级,微博官方帐号,http://weibo.com/sinat,4171.0,2930.0,199576418.0,,
194,194,5881814929,短线之王_杨老师,男,湖北,,,1977/1/22 0:00:00,2级,合肥擎天住宅科技设备有限公司销售代表,http://weibo.com/u/5881814929,3885.0,6189.0,5926.0,,
244,244,6410193624,新朝阳国际健身汇,男,河北,廊坊,,2017/2/18 0:00:00,未开通,新朝阳国际健身汇官方微博,http://weibo.com/u/6410193624,28.0,5002.0,1505.0,,
273,273,6150262953,蔡我这_ui,男,广东,,,1993/6/6 0:00:00,1级,,http://weibo.com/u/6150262953,111.0,2933.0,86.0,,
280,280,3756302663,月色Jenny德瑾清,女,河南,,,1994/11/27 0:00:00,未开通,流金网络科技有限公司ERP工程师,http://weibo.com/u/3756302663,115.0,2160.0,1413.0,,
299,299,2678922711,fefdsds_359,女,江苏,,,,未开通,视频自媒体,http://weibo.com/u/2678922711,30.0,4639.0,528.0,,
308,308,6581500992,时光清浅_Kevin_Sun,女,山东,,,2002/2/5 0:00:00,未开通,,http://weibo.com/u/6581500992,1.0,1140.0,29.0,,
311,311,5984845168,固定思想FX25,女,上海,静安区,联系Ｖ信:13049974486 支持淘宝安全交易,,1级,江西苹果装饰设计工程有限公司商务经理,http://weibo.com/u/5984845168,387.0,4013.0,6685.0,,
325,325,3740407560,江逢鹤博临汐,女,河南,,,,未开通,迪艾薇服装（北京）有限公司女包设计师,http://weibo.com/u/3740407560,34.0,2133.0,1753.0,,
355,355,5216296881,空空控空竹,女,宁夏,固原,,,未开通,音乐视频自媒体,http://weibo.com/u/5216296881,309.0,3686.0,585.0,,
374,374,6083247063,涨跌之神郑冉,女,上海,浦东新区,股票t+0可多空双向操作沪深A股，当天买入当天获利出局，免费开户加Q389975345，微信389975345,1988/11/22 0:00:00,2级,财经博主,http://weibo.com/u/6083247063,1368.0,4704.0,14334.0,,
380,380,6065614663,復刻手表玩家,女,广东,,做市场最牛的复刻手表，有喜欢的➕v-信1514675148,,未开通,中国图库签约摄影师,http://weibo.com/u/6065614663,49.0,2434.0,50661.0,,
393,393,6070357844,身心美丽庚瑾,女,黑龙江,哈尔滨,如有需要请加Ｖ信：13094816002,,3级,台州市丽园装饰工程有限公司媒介经理,http://weibo.com/u/6070357844,1547.0,3998.0,6039.0,,
421,421,6484069564,superiori6484069564,女,四川,眉山,,,未开通,,http://weibo.com/u/6484069564,6.0,4130.0,84.0,,
453,453,2275206494,诺莎78,男,四川,,,,未开通,视频自媒体,http://weibo.com/u/2275206494,47.0,3719.0,556.0,,
483,483,6186651111,草民茂,男,江苏,南京,一介草民，无山野可遁形，无海外可移民，苟活于乱世。呼雾霾之气苟延残喘，喝污染之水解渴，食垃圾食品充饥……但我还是幸运的，因为我还活着！,,未开通,,http://weibo.com/u/6186651111,711.0,1582.0,664.0,,
538,538,3797839490,方盛飞桑,女,北京,东城区,不努力谁也给不了你想要的生活,0001-00-00,未开通,时尚美妆视频自媒体,http://weibo.com/u/3797839490,271.0,1407.0,9047.0,,
596,596,6419165627,大河马在日本,女,海外,,我们在日本，我们是忠厚的大河马。我们提供可靠的服务，分享专业的知识。我们致力于让你变得更美、更健康、更有品味。专注领域：日本整容整形，抗衰老治疗，精密体检，医疗，血液净化，干细胞再生治疗，专业翻译；职业日本夜游服务，日本女艺人（优人），男公关咨询；全球高端酒店预订，签证；日本高端豪华私密定制游；有偿日本知识问答，一对一私人定制导游。,,3级,日本美肤，医疗旅游；日本夜游、高端游；有偿知识问答，私导,http://weibo.com/hippotrip,55.0,4925.0,3305.0,,
604,604,2997797360,你说我不想说,男,四川,广元,,,未开通,,http://weibo.com/u/2997797360,104.0,319.0,139.0,,
652,652,5077338366,上海精英bp,女,四川,,每天都美美哒,,未开通,时尚美妆视频自媒体,http://weibo.com/u/5077338366,136.0,3407.0,1543.0,,
668,668,5996254783,潮鞋_苏小暖,女,吉林,,需要潮鞋的朋友加V信:13250804923,1980/6/11 0:00:00,未开通,赛能鞋业（上海）有限公司经理,http://weibo.com/u/5996254783,5931.0,4025.0,12787.0,,
